July 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-091,"Miller County",87.2,126,5.0,82.2
AR-093,"Mississippi County",82.8,107,1.8,81
AR-095,"Monroe County",83.7,113,2.2,81.5
AR-097,"Montgomery County",84.4,125,4.8,79.6
AR-099,"Nevada County",84.9,121,3.2,81.7
AR-101,"Newton County",81.4,121,4.8,76.6
AR-103,"Ouachita County",84.6,121,2.8,81.8
AR-105,"Perry County",85.4,123,4.4,81
AR-107,"Phillips County",83.2,112,1.8,81.4
AR-109,"Pike County",84.6,124,4.2,80.4
AR-111,"Poinsett County",83.7,118,2.8,80.9
AR-113,"Polk County",83.5,124,5.0,78.5
AR-115,"Pope County",84.2,123,4.7,79.5
AR-117,"Prairie County",84.6,120,3.1,81.5
AR-119,"Pulaski County",84.9,120,3.6,81.3
AR-121,"Randolph County",82.9,120,3.5,79.4
AR-123,"St. Francis County",84.6,122,3.2,81.4
AR-125,"Saline County",84.5,120,3.6,80.9
AR-127,"Scott County",84.8,125,5.2,79.6
AR-129,"Searcy County",82.2,121,4.7,77.5
AR-131,"Sebastian County",86.4,126,5.6,80.8
AR-133,"Sevier County",85.6,126,4.9,80.7
AR-135,"Sharp County",82.4,121,3.9,78.5
AR-137,"Stone County",82.9,124,4.7,78.2
AR-139,"Union County",84.3,120,2.8,81.5
AR-141,"Van Buren County",83.2,123,4.7,78.5
AR-143,"Washington County",83.4,124,5.8,77.6
AR-145,"White County",84.9,125,4.3,80.6
AR-147,"Woodruff County",84.6,122,3.4,81.2
AR-149,"Yell County",85.5,124,4.7,80.8
CA-001,"Alameda County",70.3,91,1.2,69.1
CA-003,"Alpine County",64.5,116,3.3,61.2
CA-005,"Amador County",77.0,111,2.9,74.1
CA-007,"Butte County",78.2,101,1.9,76.3
CA-009,"Calaveras County",77.3,105,2.5,74.8
CA-011,"Colusa County",79.0,91,1.3,77.7
CA-013,"Contra Costa County",71.4,76,0.7,70.7
CA-015,"Del Norte County",67.1,113,2.7,64.4
CA-017,"El Dorado County",73.4,112,2.7,70.7
CA-019,"Fresno County",75.5,115,3.2,72.3
CA-021,"Glenn County",79.0,95,1.6,77.4
CA-023,"Humboldt County",68.3,111,2.6,65.7
CA-025,"Imperial County",94.8,120,3.1,91.7
CA-027,"Inyo County",84.4,116,3.5,80.9
CA-029,"Kern County",82.1,105,2.5,79.6
CA-031,"Kings County",83.2,106,2.5,80.7
CA-033,"Lake County",74.8,97,1.6,73.2
CA-035,"Lassen County",69.6,115,3.6,66
CA-037,"Los Angeles County",77.2,113,3.0,74.2
CA-039,"Madera County",76.0,109,2.8,73.2
CA-041,"Marin County",61.5,92,0.9,60.6
CA-043,"Mariposa County",75.1,107,2.7,72.4
CA-045,"Mendocino County",69.4,98,1.5,67.9
CA-047,"Merced County",79.4,103,1.9,77.5
CA-049,"Modoc County",70.6,124,5.1,65.5
CA-051,"Mono County",66.5,121,3.8,62.7
CA-053,"Monterey County",70.9,114,2.3,68.6
CA-055,"Napa County",72.5,76,0.7,71.8
CA-057,"Nevada County",71.5,109,2.7,68.8
CA-059,"Orange County",73.1,105,1.9,71.2
CA-061,"Placer County",72.6,109,2.5,70.1
CA-063,"Plumas County",68.3,115,3.4,64.9
CA-065,"Riverside County",88.1,117,2.9,85.2
CA-067,"Sacramento County",77.7,99,1.7,76
CA-069,"San Benito County",74.6,110,2.6,72
CA-071,"San Bernardino County",88.8,114,2.8,86
CA-073,"San Diego County",77.2,113,2.4,74.8
CA-075,"San Francisco County",61.4,87,0.7,60.7
CA-077,"San Joaquin County",77.1,97,1.4,75.7
CA-079,"San Luis Obispo County",73.2,108,2.2,71
CA-081,"San Mateo County",64.0,111,2.2,61.8
CA-083,"Santa Barbara County",69.4,108,2.2,67.2
CA-085,"Santa Clara County",71.0,107,2.2,68.8
CA-087,"Santa Cruz County",65.3,107,2.0,63.3
CA-089,"Shasta County",76.5,117,3.8,72.7
CA-091,"Sierra County",67.2,114,3.2,64
CA-093,"Siskiyou County",71.0,123,5.0,66
CA-095,"Solano County",73.3,83,0.7,72.6
CA-097,"Sonoma County",66.0,75,0.5,65.5
CA-099,"Stanislaus County",77.8,97,1.5,76.3
CA-101,"Sutter County",79.6,94,1.4,78.2
CA-103,"Tehama County",78.4,100,2.0,76.4
CA-105,"Trinity County",72.8,115,3.7,69.1
CA-107,"Tulare County",74.6,113,3.0,71.6
CA-109,"Tuolumne County",69.8,109,2.7,67.1
CA-111,"Ventura County",70.9,105,2.4,68.5
CA-113,"Yolo County",77.5,92,0.9,76.6
CA-115,"Yuba County",78.9,105,2.2,76.7
CO-001,"Adams County",76.4,124,4.0,72.4
CO-003,"Alamosa County",66.4,121,2.6,63.8
CO-005,"Arapahoe County",75.6,124,4.0,71.6
CO-007,"Archuleta County",65.7,113,2.0,63.7
CO-009,"Baca County",79.7,116,3.2,76.5
CO-011,"Bent County",79.6,111,2.6,77
CO-013,"Boulder County",67.7,118,2.8,64.9
CO-014,"Broomfield County",75.7,123,3.7,72
CO-015,"Chaffee County",59.5,110,2.0,57.5
CO-017,"Cheyenne County",78.0,113,3.0,75
CO-019,"Clear Creek County",59.0,120,2.7,56.3
CO-021,"Conejos County",62.1,114,2.0,60.1
CO-023,"Costilla County",63.4,115,2.0,61.4
CO-025,"Crowley County",78.2,118,3.4,74.8
CO-027,"Custer County",63.3,122,2.8,60.5
CO-029,"Delta County",70.9,118,3.0,67.9
CO-031,"Denver County",76.3,123,3.8,72.5
CO-033,"Dolores County",65.8,122,3.5,62.3
CO-035,"Douglas County",70.8,120,3.1,67.7
CO-037,"Eagle County",62.2,110,2.4,59.8
CO-039,"Elbert County",74.1,126,4.5,69.6
CO-041,"El Paso County",72.1,123,3.4,68.7
CO-043,"Fremont County",68.6,123,3.1,65.5
CO-045,"Garfield County",67.9,119,3.3,64.6
CO-047,"Gilpin County",61.0,117,2.4,58.6
CO-049,"Grand County",60.5,117,3.0,57.5
CO-051,"Gunnison County",61.2,118,2.6,58.6
CO-053,"Hinsdale County",55.9,105,2.2,53.7
CO-055,"Huerfano County",69.1,115,2.7,66.4
CO-057,"Jackson County",59.9,111,2.7,57.2
CO-059,"Jefferson County",69.1,118,2.8,66.3
CO-061,"Kiowa County",78.7,111,2.5,76.2
CO-063,"Kit Carson County",78.4,124,4.2,74.2
CO-065,"Lake County",55.8,109,2.0,53.8
CO-067,"La Plata County",67.6,123,3.3,64.3
CO-069,"Larimer County",66.0,120,3.7,62.3
CO-071,"Las Animas County",74.3,115,2.5,71.8
CO-073,"Lincoln County",76.4,122,4.1,72.3
CO-075,"Logan County",77.2,116,3.4,73.8
CO-077,"Mesa County",72.7,121,3.6,69.1
CO-079,"Mineral County",57.2,114,2.1,55.1
CO-081,"Moffat County",71.2,123,4.5,66.7
CO-083,"Montezuma County",73.1,124,3.6,69.5
CO-085,"Montrose County",72.1,121,3.7,68.4
CO-087,"Morgan County",76.8,122,4.1,72.7
CO-089,"Otero County",78.6,112,2.6,76
CO-091,"Ouray County",64.1,120,3.8,60.3
CO-093,"Park County",60.2,118,2.5,57.7
CO-095,"Phillips County",78.6,122,4.3,74.3
CO-097,"Pitkin County",59.8,109,2.3,57.5
CO-099,"Prowers County",80.0,113,2.5,77.5
CO-101,"Pueblo County",76.9,117,3.1,73.8
CO-103,"Rio Blanco County",70.0,122,3.8,66.2
CO-105,"Rio Grande County",62.3,126,3.1,59.2
CO-107,"Routt County",64.0,115,3.1,60.9
CO-109,"Saguache County",61.9,120,2.4,59.5
CO-111,"San Juan County",54.5,117,3.2,51.3
CO-113,"San Miguel County",67.9,120,3.6,64.3
CO-115,"Sedgwick County",77.8,113,3.5,74.3
CO-117,"Summit County",57.5,114,2.4,55.1
CO-119,"Teller County",62.6,123,3.2,59.4
CO-121,"Washington County",76.9,119,3.7,73.2
CO-123,"Weld County",75.6,122,4.2,71.4
CO-125,"Yuma County",79.0,123,4.4,74.6
CT-001,"Fairfield County",76.0,123,4.2,71.8
CT-003,"Hartford County",75.0,119,3.4,71.6
CT-005,"Litchfield County",72.4,120,3.6,68.8
CT-007,"Middlesex County",74.8,119,3.5,71.3
CT-009,"New Haven County",75.0,119,3.5,71.5
CT-011,"New London County",74.1,119,3.5,70.6
CT-013,"Tolland County",73.0,115,3.0,70
CT-015,"Windham County",72.9,114,2.8,70.1
DE-001,"Kent County",79.1,121,3.7,75.4
DE-003,"New Castle County",78.8,119,3.5,75.3
DE-005,"Sussex County",78.5,113,2.8,75.7
FL-001,"Alachua County",82.3,118,1.5,80.8
FL-003,"Baker County",81.7,106,1.2,80.5
FL-005,"Bay County",82.5,108,1.4,81.1
FL-007,"Bradford County",82.1,112,1.5,80.6
FL-009,"Brevard County",82.7,118,1.8,80.9
FL-011,"Broward County",83.8,124,2.4,81.4
FL-013,"Calhoun County",81.8,97,1.0,80.8
FL-015,"Charlotte County",83.2,120,1.6,81.6
FL-017,"Citrus County",84.1,128,3.5,80.6
FL-019,"Clay County",83.0,123,2.3,80.7
FL-021,"Collier County",83.1,107,1.1,82
FL-023,"Columbia County",81.5,97,0.9,80.6
FL-027,"DeSoto County",83.2,124,2.2,81
FL-029,"Dixie County",82.5,121,1.9,80.6
FL-031,"Duval County",82.9,119,2.0,80.9
FL-033,"Escambia County",82.3,101,1.0,81.3
FL-035,"Flagler County",83.6,127,2.9,80.7
FL-037,"Franklin County",81.7,84,0.6,81.1
FL-039,"Gadsden County",81.0,73,0.4,80.6
FL-041,"Gilchrist County",82.1,118,1.7,80.4
FL-043,"Glades County",83.2,122,2.1,81.1
FL-045,"Gulf County",81.6,95,1.0,80.6
FL-047,"Hamilton County",81.6,101,0.9,80.7
FL-049,"Hardee County",83.5,127,2.7,80.8
FL-051,"Hendry County",82.9,115,1.6,81.3
FL-053,"Hernando County",83.8,128,3.4,80.4
FL-055,"Highlands County",83.6,127,2.7,80.9
FL-057,"Hillsborough County",84.4,128,3.5,80.9
FL-059,"Holmes County",82.1,98,1.1,81
FL-061,"Indian River County",82.4,119,2.0,80.4
FL-063,"Jackson County",82.0,83,0.6,81.4
FL-065,"Jefferson County",81.6,91,0.9,80.7
FL-067,"Lafayette County",82.0,115,1.5,80.5
FL-069,"Lake County",84.0,127,3.1,80.9
FL-071,"Lee County",83.0,105,1.1,81.9
FL-073,"Leon County",81.4,82,0.6,80.8
FL-075,"Levy County",83.0,122,2.6,80.4
FL-077,"Liberty County",81.4,87,0.8,80.6
FL-079,"Madison County",81.8,111,1.3,80.5
FL-081,"Manatee County",83.5,124,2.6,80.9
FL-083,"Marion County",83.3,125,2.6,80.7
FL-085,"Martin County",83.8,125,2.9,80.9
FL-086,"Miami-Dade County",83.9,123,2.4,81.5
FL-087,"Monroe County",84.2,120,2.0,82.2
FL-089,"Nassau County",82.4,109,1.5,80.9
FL-091,"Okaloosa County",82.6,112,1.5,81.1
FL-093,"Okeechobee County",83.2,123,2.4,80.8
FL-095,"Orange County",84.3,127,2.9,81.4
FL-097,"Osceola County",84.1,127,2.9,81.2
FL-099,"Palm Beach County",83.6,123,2.5,81.1
FL-101,"Pasco County",83.9,128,3.4,80.5
FL-103,"Pinellas County",84.9,127,3.2,81.7
FL-105,"Polk County",84.3,127,3.2,81.1
FL-107,"Putnam County",83.5,126,2.6,80.9
FL-109,"St. Johns County",83.5,126,2.9,80.6
FL-111,"St. Lucie County",83.1,122,2.3,80.8
FL-113,"Santa Rosa County",82.5,108,1.1,81.4
FL-115,"Sarasota County",83.0,119,1.6,81.4
FL-117,"Seminole County",84.0,125,2.5,81.5
FL-119,"Sumter County",83.9,127,3.4,80.5
FL-121,"Suwannee County",81.7,107,1.1,80.6
FL-123,"Taylor County",82.3,117,1.5,80.8
FL-125,"Union County",81.7,105,1.1,80.6
FL-127,"Volusia County",83.5,124,2.4,81.1
FL-129,"Wakulla County",81.7,83,0.6,81.1
FL-131,"Walton County",82.4,112,1.6,80.8
FL-133,"Washington County",82.4,102,1.3,81.1
GA-001,"Appling County",83.0,112,1.8,81.2
GA-003,"Atkinson County",82.5,113,1.6,80.9
GA-005,"Bacon County",83.2,121,2.1,81.1
GA-007,"Baker County",81.4,74,0.3,81.1
GA-009,"Baldwin County",82.0,105,1.4,80.6
GA-011,"Banks County",80.4,106,1.8,78.6
GA-013,"Barrow County",80.4,105,1.7,78.7
GA-015,"Bartow County",80.2,103,1.4,78.8
GA-017,"Ben Hill County",82.3,113,1.7,80.6
GA-019,"Berrien County",81.7,96,1.0,80.7
GA-021,"Bibb County",82.0,108,1.8,80.2
GA-023,"Bleckley County",82.2,99,1.3,80.9
GA-025,"Brantley County",82.2,106,1.8,80.4
GA-027,"Brooks County",81.1,89,0.8,80.3
GA-029,"Bryan County",82.9,106,1.6,81.3
GA-031,"Bulloch County",82.4,105,1.6,80.8
GA-033,"Burke County",81.8,102,1.7,80.1
GA-035,"Butts County",82.4,123,3.1,79.3
GA-037,"Calhoun County",81.3,80,0.6,80.7
GA-039,"Camden County",82.2,103,1.3,80.9
GA-043,"Candler County",82.4,102,1.5,80.9
GA-045,"Carroll County",79.7,113,2.4,77.3
GA-047,"Catoosa County",80.4,112,2.2,78.2
GA-049,"Charlton County",82.1,108,1.5,80.6
GA-051,"Chatham County",83.0,107,1.7,81.3
GA-053,"Chattahoochee County",80.8,87,0.6,80.2
GA-055,"Chattooga County",79.8,100,1.2,78.6
GA-057,"Cherokee County",79.3,105,1.4,77.9
GA-059,"Clarke County",80.7,103,1.5,79.2
GA-061,"Clay County",81.5,93,0.8,80.7
GA-063,"Clayton County",81.5,118,2.5,79
GA-065,"Clinch County",82.1,108,1.4,80.7
GA-067,"Cobb County",80.3,106,1.9,78.4
GA-069,"Coffee County",82.6,116,1.7,80.9
GA-071,"Colquitt County",80.9,84,0.7,80.2
GA-073,"Columbia County",81.4,97,1.2,80.2
GA-075,"Cook County",81.3,94,0.9,80.4
GA-077,"Coweta County",81.1,121,2.7,78.4
GA-079,"Crawford County",81.4,106,1.6,79.8
GA-081,"Crisp County",82.1,112,1.9,80.2
GA-083,"Dade County",78.5,108,1.5,77
GA-085,"Dawson County",77.6,107,1.5,76.1
GA-087,"Decatur County",81.2,72,0.2,81
GA-089,"DeKalb County",80.9,112,2.2,78.7
GA-091,"Dodge County",82.3,100,1.3,81
GA-093,"Dooly County",82.1,110,1.7,80.4
GA-095,"Dougherty County",81.9,89,0.9,81
GA-097,"Douglas County",80.3,116,2.4,77.9
GA-099,"Early County",81.5,79,0.5,81
GA-101,"Echols County",81.5,94,0.9,80.6
GA-103,"Effingham County",82.8,109,2.0,80.8
GA-105,"Elbert County",81.2,105,1.9,79.3
GA-107,"Emanuel County",81.9,95,1.2,80.7
GA-109,"Evans County",82.7,102,1.4,81.3
GA-111,"Fannin County",75.6,109,1.8,73.8
GA-113,"Fayette County",81.5,118,2.6,78.9
GA-115,"Floyd County",80.3,103,1.3,79
GA-117,"Forsyth County",79.0,107,1.6,77.4
GA-119,"Franklin County",80.6,107,1.9,78.7
GA-121,"Fulton County",80.6,114,2.2,78.4
GA-123,"Gilmer County",76.4,107,1.6,74.8
GA-125,"Glascock County",80.9,96,1.0,79.9
GA-127,"Glynn County",82.6,101,1.3,81.3
GA-129,"Gordon County",80.4,102,1.5,78.9
GA-131,"Grady County",80.7,72,0.2,80.5
GA-133,"Greene County",81.5,106,1.8,79.7
GA-135,"Gwinnett County",80.1,107,1.9,78.2
GA-137,"Habersham County",78.2,110,2.1,76.1
GA-139,"Hall County",79.3,107,1.7,77.6
GA-141,"Hancock County",81.3,97,1.2,80.1
GA-143,"Haralson County",78.8,107,1.8,77
GA-145,"Harris County",80.4,103,1.4,79
GA-147,"Hart County",80.9,110,2.3,78.6
GA-149,"Heard County",80.7,116,2.4,78.3
GA-151,"Henry County",82.0,118,2.7,79.3
GA-153,"Houston County",82.0,101,1.5,80.5
GA-155,"Irwin County",82.0,111,1.5,80.5
GA-157,"Jackson County",80.5,106,1.7,78.8
GA-159,"Jasper County",82.2,120,2.9,79.3
GA-161,"Jeff Davis County",82.8,116,1.8,81
GA-163,"Jefferson County",81.2,94,1.2,80
GA-165,"Jenkins County",82.0,106,1.7,80.3
GA-167,"Johnson County",81.6,90,1.0,80.6
GA-169,"Jones County",81.9,110,2.0,79.9
GA-171,"Lamar County",81.5,118,2.6,78.9
GA-173,"Lanier County",81.8,103,1.2,80.6
GA-175,"Laurens County",82.2,98,1.2,81
GA-177,"Lee County",82.1,105,1.3,80.8
GA-179,"Liberty County",82.9,105,1.5,81.4
GA-181,"Lincoln County",81.0,91,0.8,80.2
GA-183,"Long County",82.9,104,1.5,81.4
GA-185,"Lowndes County",81.3,99,0.9,80.4
GA-187,"Lumpkin County",76.8,108,1.8,75
GA-189,"McDuffie County",80.9,97,1.1,79.8
GA-191,"McIntosh County",82.8,98,1.3,81.5
GA-193,"Macon County",81.6,103,1.4,80.2
GA-195,"Madison County",80.6,106,1.9,78.7
GA-197,"Marion County",80.5,99,1.0,79.5
GA-199,"Meriwether County",80.8,115,2.3,78.5
GA-201,"Miller County",81.4,74,0.3,81.1
GA-205,"Mitchell County",81.1,75,0.3,80.8
GA-207,"Monroe County",81.7,116,2.3,79.4
GA-209,"Montgomery County",82.6,107,1.4,81.2
GA-211,"Morgan County",81.8,113,2.4,79.4
GA-213,"Murray County",79.5,110,1.8,77.7
GA-215,"Muscogee County",80.9,92,0.8,80.1
GA-217,"Newton County",81.9,121,2.8,79.1
GA-219,"Oconee County",81.0,105,1.7,79.3
GA-221,"Oglethorpe County",81.0,105,1.7,79.3
GA-223,"Paulding County",79.8,107,1.8,78
GA-225,"Peach County",81.6,107,1.6,80
GA-227,"Pickens County",77.9,105,1.4,76.5
GA-229,"Pierce County",83.0,115,2.1,80.9
GA-231,"Pike County",81.3,117,2.4,78.9
GA-233,"Polk County",79.7,100,1.4,78.3
GA-235,"Pulaski County",82.3,99,1.4,80.9
GA-237,"Putnam County",82.0,111,2.1,79.9
GA-239,"Quitman County",81.4,97,1.0,80.4
GA-241,"Rabun County",75.8,116,2.5,73.3
GA-243,"Randolph County",81.0,92,0.9,80.1
GA-245,"Richmond County",82.0,103,1.6,80.4
GA-247,"Rockdale County",81.6,117,2.5,79.1
GA-249,"Schley County",81.0,101,1.2,79.8
GA-251,"Screven County",82.0,105,1.6,80.4
GA-253,"Seminole County",81.6,72,0.3,81.3
GA-255,"Spalding County",81.9,119,2.7,79.2
GA-257,"Stephens County",80.2,107,1.8,78.4
GA-259,"Stewart County",80.8,92,0.8,80
GA-261,"Sumter County",81.6,105,1.3,80.3
GA-263,"Talbot County",80.6,104,1.5,79.1
GA-265,"Taliaferro County",81.0,98,1.3,79.7
GA-267,"Tattnall County",82.8,105,1.4,81.4
GA-269,"Taylor County",81.0,103,1.4,79.6
GA-271,"Telfair County",82.6,108,1.5,81.1
GA-273,"Terrell County",81.5,99,1.1,80.4
GA-275,"Thomas County",80.8,80,0.5,80.3
GA-277,"Tift County",81.5,100,1.2,80.3
GA-279,"Toombs County",82.7,104,1.4,81.3
GA-281,"Towns County",75.0,120,2.6,72.4
GA-283,"Treutlen County",82.2,95,1.2,81
GA-285,"Troup County",80.9,114,2.1,78.8
GA-287,"Turner County",81.6,108,1.5,80.1
GA-289,"Twiggs County",82.0,103,1.4,80.6
GA-291,"Union County",75.1,116,2.3,72.8
GA-293,"Upson County",81.2,111,2.1,79.1
GA-295,"Walker County",79.2,107,1.5,77.7
GA-297,"Walton County",81.0,112,2.1,78.9
GA-299,"Ware County",82.7,111,2.0,80.7
GA-301,"Warren County",80.7,96,1.0,79.7
GA-303,"Washington County",81.4,92,0.9,80.5
GA-305,"Wayne County",82.7,108,1.7,81
GA-307,"Webster County",80.8,96,0.9,79.9
GA-309,"Wheeler County",82.7,105,1.4,81.3
GA-311,"White County",77.2,109,2.1,75.1
GA-313,"Whitfield County",80.4,110,2.0,78.4
GA-315,"Wilcox County",82.2,110,1.6,80.6
GA-317,"Wilkes County",81.0,100,1.3,79.7
GA-319,"Wilkinson County",82.0,99,1.2,80.8
GA-321,"Worth County",81.5,98,1.2,80.3
ID-001,"Ada County",78.8,121,4.6,74.2
ID-003,"Adams County",69.6,118,4.4,65.2
ID-005,"Bannock County",72.3,124,4.3,68
ID-007,"Bear Lake County",67.2,123,4.4,62.8
ID-009,"Benewah County",68.9,121,4.6,64.3
ID-011,"Bingham County",72.2,123,4.3,67.9
ID-013,"Blaine County",69.4,121,4.5,64.9
ID-015,"Boise County",68.8,114,3.6,65.2
ID-017,"Bonner County",67.6,122,4.7,62.9
ID-019,"Bonneville County",69.2,125,4.7,64.5
ID-021,"Boundary County",65.6,122,4.9,60.7
ID-023,"Butte County",70.1,123,4.4,65.7
ID-025,"Camas County",68.4,126,5.4,63
ID-027,"Canyon County",79.0,122,4.9,74.1
ID-029,"Caribou County",68.5,124,4.4,64.1
ID-031,"Cassia County",73.3,123,4.4,68.9
