May 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 129 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-063,"Independence County",68.8,91,1.584,67.2
AR-065,"Izard County",67.4,92,1.542,65.9
AR-067,"Jackson County",70.1,91,1.711,68.4
AR-069,"Jefferson County",72.4,102,2.056,70.3
AR-071,"Johnson County",67.7,82,1.162,66.5
AR-073,"Lafayette County",72.5,91,1.35,71.2
AR-075,"Lawrence County",69.2,92,1.538,67.7
AR-077,"Lee County",71.7,87,1.335,70.4
AR-079,"Lincoln County",72.8,101,2.181,70.6
AR-081,"Little River County",72.5,107,2.284,70.2
AR-083,"Logan County",68.9,76,0.684,68.2
AR-085,"Lonoke County",71.8,98,1.942,69.9
AR-087,"Madison County",65.7,91,1.407,64.3
AR-089,"Marion County",66.6,87,1.178,65.4
AR-091,"Miller County",73.6,109,2.407,71.2
AR-093,"Mississippi County",71.3,91,1.808,69.5
AR-095,"Monroe County",71.6,83,1.297,70.3
AR-097,"Montgomery County",68.9,79,0.822,68.1
AR-099,"Nevada County",70.8,67,0.262,70.5
AR-101,"Newton County",65.6,90,1.376,64.2
AR-103,"Ouachita County",70.8,59,0.028,70.8
AR-105,"Perry County",70.3,86,1.319,69
AR-107,"Phillips County",71.7,79,1.081,70.6
AR-109,"Pike County",70,81,1.022,69
AR-111,"Poinsett County",71.3,98,2.044,69.3
AR-113,"Polk County",67.4,68,0.292,67.1
AR-115,"Pope County",68.4,85,1.147,67.3
AR-117,"Prairie County",71.7,91,1.654,70
AR-119,"Pulaski County",71.4,99,1.784,69.6
AR-121,"Randolph County",68.5,91,1.475,67
AR-123,"St. Francis County",71.6,86,1.403,70.2
AR-125,"Saline County",70.4,85,1.185,69.2
AR-127,"Scott County",68.4,76,0.665,67.7
AR-129,"Searcy County",66.4,88,1.254,65.1
AR-131,"Sebastian County",69.9,93,1.474,68.4
AR-133,"Sevier County",70.7,93,1.333,69.4
AR-135,"Sharp County",67.8,92,1.73,66.1
AR-137,"Stone County",67.2,91,1.401,65.8
AR-139,"Union County",71.8,82,0.883,70.9
AR-141,"Van Buren County",67.8,93,1.514,66.3
AR-143,"Washington County",67,96,1.701,65.3
AR-145,"White County",70.7,103,2.102,68.6
AR-147,"Woodruff County",71.2,91,1.644,69.6
AR-149,"Yell County",69.3,76,0.614,68.7
CA-001,"Alameda County",59.8,55,-0.005,59.8
CA-003,"Alpine County",46.6,82,1.293,45.3
CA-005,"Amador County",60.5,73,0.721,59.8
CA-007,"Butte County",64.4,87,1.785,62.6
CA-009,"Calaveras County",61,74,0.762,60.2
CA-011,"Colusa County",65.1,60,0.348,64.8
CA-013,"Contra Costa County",60.5,42,-0.972,61.5
CA-015,"Del Norte County",56.3,123,3.919,52.4
CA-017,"El Dorado County",56.3,73,0.831,55.5
CA-019,"Fresno County",58.9,76,1.108,57.8
CA-021,"Glenn County",64.5,80,1.211,63.3
CA-023,"Humboldt County",57.2,110,2.754,54.4
CA-025,"Imperial County",78.5,79,1.256,77.2
CA-027,"Inyo County",66,70,1.007,65
CA-029,"Kern County",65.3,72,0.963,64.3
CA-031,"Kings County",68.7,81,1.246,67.5
CA-033,"Lake County",59.1,72,0.713,58.4
CA-035,"Lassen County",52.6,99,2.149,50.5
CA-037,"Los Angeles County",60.8,50,-0.512,61.3
CA-039,"Madera County",60,85,1.433,58.6
CA-041,"Marin County",55.2,51,-0.198,55.4
CA-043,"Mariposa County",58.7,86,1.332,57.4
CA-045,"Mendocino County",58.2,103,2.151,56
CA-047,"Merced County",65.4,55,0.08,65.3
CA-049,"Modoc County",53.9,113,4.045,49.9
CA-051,"Mono County",48.8,89,1.949,46.9
CA-053,"Monterey County",59,59,0.274,58.7
CA-055,"Napa County",60.5,50,-0.332,60.8
CA-057,"Nevada County",55.7,84,1.308,54.4
CA-059,"Orange County",60.9,33,-1.38,62.3
CA-061,"Placer County",56.9,79,1.195,55.7
CA-063,"Plumas County",52.2,97,1.9,50.3
CA-065,"Riverside County",71.7,74,1.06,70.6
CA-067,"Sacramento County",65.3,60,0.111,65.2
CA-069,"San Benito County",59.7,56,0.051,59.6
CA-071,"San Bernardino County",71.6,74,1.267,70.3
CA-073,"San Diego County",62.6,58,0.147,62.5
CA-075,"San Francisco County",56.6,56,-0.08,56.7
CA-077,"San Joaquin County",64.9,56,-0.018,64.9
CA-079,"San Luis Obispo County",59.6,57,0.104,59.5
CA-081,"San Mateo County",57.1,85,1.173,55.9
CA-083,"Santa Barbara County",58.3,90,1.35,57
CA-085,"Santa Clara County",59.2,73,0.663,58.5
CA-087,"Santa Cruz County",57.4,80,0.945,56.5
CA-089,"Shasta County",60.4,103,2.584,57.8
CA-091,"Sierra County",50.6,85,1.217,49.4
CA-093,"Siskiyou County",54.8,116,4.122,50.7
CA-095,"Solano County",62.5,39,-0.824,63.3
CA-097,"Sonoma County",57.2,53,-0.141,57.3
CA-099,"Stanislaus County",64.4,58,0.067,64.3
CA-101,"Sutter County",67.4,74,0.806,66.6
CA-103,"Tehama County",63.1,87,1.832,61.3
CA-105,"Trinity County",57,104,3.093,53.9
CA-107,"Tulare County",57.6,76,1.196,56.4
CA-109,"Tuolumne County",53,84,1.336,51.7
CA-111,"Ventura County",56.6,64,0.218,56.4
CA-113,"Yolo County",64.4,44,-0.676,65.1
CA-115,"Yuba County",65,81,1.372,63.6
CO-001,"Adams County",58.5,100,2.46,56
CO-003,"Alamosa County",52.6,109,2.476,50.1
CO-005,"Arapahoe County",57.8,104,2.518,55.3
CO-007,"Archuleta County",51,96,1.763,49.2
CO-009,"Baca County",63.8,104,2.655,61.1
CO-011,"Bent County",63.8,103,2.544,61.3
CO-013,"Boulder County",51.5,90,1.723,49.8
CO-014,"Broomfield County",58.4,92,1.838,56.6
CO-015,"Chaffee County",45.6,101,1.724,43.9
CO-017,"Cheyenne County",62.1,111,3.23,58.9
CO-019,"Clear Creek County",44.5,112,2.458,42
CO-021,"Conejos County",48.4,97,1.887,46.5
CO-023,"Costilla County",50,105,2.27,47.7
CO-025,"Crowley County",62.6,117,3.548,59.1
CO-027,"Custer County",48.6,105,2.125,46.5
CO-029,"Delta County",55.9,111,3.272,52.6
CO-031,"Denver County",58.7,96,2.18,56.5
CO-033,"Dolores County",50.7,110,3.071,47.6
CO-035,"Douglas County",53.5,88,1.271,52.2
CO-037,"Eagle County",48.2,111,2.497,45.7
CO-039,"Elbert County",57.1,120,3.642,53.5
CO-041,"El Paso County",54.9,93,1.523,53.4
CO-043,"Fremont County",52.9,100,1.725,51.2
CO-045,"Garfield County",52.4,116,3.31,49.1
CO-047,"Gilpin County",45.8,101,2.046,43.8
CO-049,"Grand County",46.4,117,3.097,43.3
CO-051,"Gunnison County",47,111,2.763,44.2
CO-053,"Hinsdale County",43.3,115,3.226,40.1
CO-055,"Huerfano County",54,100,1.841,52.2
CO-057,"Jackson County",46.2,121,3.772,42.4
CO-059,"Jefferson County",52.7,92,1.6,51.1
CO-061,"Kiowa County",62.9,103,2.72,60.2
CO-063,"Kit Carson County",61.1,110,3.09,58
CO-065,"Lake County",42.6,107,2.435,40.2
CO-067,"La Plata County",52.2,106,2.533,49.7
CO-069,"Larimer County",50.2,120,3.317,46.9
CO-071,"Las Animas County",59,95,1.873,57.1
CO-073,"Lincoln County",60.2,120,3.869,56.3
CO-075,"Logan County",59.9,101,2.843,57.1
CO-077,"Mesa County",56.9,113,3.759,53.1
CO-079,"Mineral County",44,110,2.333,41.7
CO-081,"Moffat County",54.1,120,3.744,50.4
CO-083,"Montezuma County",56.5,102,2.35,54.2
CO-085,"Montrose County",56.5,113,3.606,52.9
CO-087,"Morgan County",59.6,111,3.328,56.3
CO-089,"Otero County",63.1,105,2.638,60.5
CO-091,"Ouray County",49.4,112,3.539,45.9
CO-093,"Park County",45.6,98,1.776,43.8
CO-095,"Phillips County",60.8,108,3.26,57.5
CO-097,"Pitkin County",46.2,112,2.852,43.3
CO-099,"Prowers County",64.1,98,2.478,61.6
CO-101,"Pueblo County",61.3,108,2.656,58.6
CO-103,"Rio Blanco County",53.7,116,3.545,50.2
CO-105,"Rio Grande County",48.3,107,2.326,46
CO-107,"Routt County",49.9,124,4.113,45.8
CO-109,"Saguache County",47.4,91,1.538,45.9
CO-111,"San Juan County",41.6,115,3.527,38.1
CO-113,"San Miguel County",52.8,112,3.472,49.3
CO-115,"Sedgwick County",60.4,101,2.808,57.6
CO-117,"Summit County",44,115,2.562,41.4
CO-119,"Teller County",45.5,61,0.343,45.2
CO-121,"Washington County",59.6,108,2.958,56.6
CO-123,"Weld County",58.8,114,3.612,55.2
CO-125,"Yuma County",61.7,110,3.479,58.2
CT-001,"Fairfield County",58.3,69,0.565,57.7
CT-003,"Hartford County",57.7,58,-0.053,57.8
CT-005,"Litchfield County",55.3,58,-0.166,55.5
CT-007,"Middlesex County",57,55,-0.093,57.1
CT-009,"New Haven County",57.4,59,0.222,57.2
CT-011,"New London County",56.3,53,-0.199,56.5
CT-013,"Tolland County",56.3,55,-0.246,56.5
CT-015,"Windham County",55.8,51,-0.562,56.4
DE-001,"Kent County",62.2,59,-0.011,62.2
DE-003,"New Castle County",62,68,0.104,61.9
DE-005,"Sussex County",62.1,60,-0.125,62.2
FL-001,"Alachua County",74.8,69,0.121,74.7
FL-003,"Baker County",73.5,65,-0.074,73.6
FL-005,"Bay County",74.2,68,0.214,74
FL-007,"Bradford County",74.4,71,0.249,74.2
FL-009,"Brevard County",76.3,85,0.87,75.4
FL-011,"Broward County",78.9,113,2.333,76.6
FL-013,"Calhoun County",73.8,59,-0.006,73.8
FL-015,"Charlotte County",77.4,82,0.701,76.7
FL-017,"Citrus County",76.5,97,1.339,75.2
FL-019,"Clay County",75.1,88,1.049,74.1
FL-021,"Collier County",78.3,106,1.612,76.7
FL-023,"Columbia County",73.5,52,-0.387,73.9
FL-027,"DeSoto County",77.1,90,0.953,76.1
FL-029,"Dixie County",74.8,81,0.696,74.1
FL-031,"Duval County",74.7,87,1.036,73.7
FL-033,"Escambia County",74.7,88,1.03,73.7
FL-035,"Flagler County",75.8,99,1.519,74.3
FL-037,"Franklin County",74.4,75,0.403,74
FL-039,"Gadsden County",74.3,78,0.529,73.8
FL-041,"Gilchrist County",74.5,76,0.378,74.1
FL-043,"Glades County",77.2,89,1.01,76.2
FL-045,"Gulf County",73.7,67,0.182,73.5
FL-047,"Hamilton County",72.9,39,-0.79,73.7
FL-049,"Hardee County",77.5,106,1.622,75.9
FL-051,"Hendry County",77.5,94,1.252,76.2
FL-053,"Hernando County",77,108,2.037,75
FL-055,"Highlands County",77.3,98,1.306,76
FL-057,"Hillsborough County",78,112,2.229,75.8
FL-059,"Holmes County",73.6,57,-0.087,73.7
FL-061,"Indian River County",76.6,103,1.447,75.2
FL-063,"Jackson County",73.8,53,-0.521,74.3
FL-065,"Jefferson County",74.5,85,0.668,73.8
FL-067,"Lafayette County",74.1,73,0.163,73.9
FL-069,"Lake County",76.6,91,1.211,75.4
FL-071,"Lee County",77.8,84,0.817,77
FL-073,"Leon County",74.9,89,1.026,73.9
FL-075,"Levy County",75.4,87,0.961,74.4
FL-077,"Liberty County",74,76,0.386,73.6
FL-079,"Madison County",73.6,59,-0.08,73.7
FL-081,"Manatee County",77.7,110,1.881,75.8
FL-083,"Marion County",75.7,77,0.612,75.1
FL-085,"Martin County",78,113,2.047,76
FL-086,"Miami-Dade County",79.3,117,2.665,76.6
FL-087,"Monroe County",79.7,120,2.473,77.2
FL-089,"Nassau County",73.7,72,0.309,73.4
FL-091,"Okaloosa County",74.3,85,0.955,73.3
FL-093,"Okeechobee County",77.1,101,1.405,75.7
FL-095,"Orange County",77,90,1.068,75.9
FL-097,"Osceola County",77.2,96,1.349,75.9
FL-099,"Palm Beach County",78.3,114,2.141,76.2
FL-101,"Pasco County",77.1,109,1.993,75.1
FL-103,"Pinellas County",78.2,107,1.687,76.5
FL-105,"Polk County",77.8,105,1.783,76
FL-107,"Putnam County",75.8,92,1.219,74.6
FL-109,"St. Johns County",75.7,106,1.859,73.8
FL-111,"St. Lucie County",77,99,1.289,75.7
FL-113,"Santa Rosa County",74.6,86,0.96,73.6
FL-115,"Sarasota County",77.4,92,1.106,76.3
FL-117,"Seminole County",76.8,87,1.004,75.8
FL-119,"Sumter County",76.5,95,1.292,75.2
FL-121,"Suwannee County",73.7,55,-0.277,74
FL-123,"Taylor County",74.8,85,0.633,74.2
FL-125,"Union County",73.9,60,-0.152,74.1
FL-127,"Volusia County",76,89,0.969,75
FL-129,"Wakulla County",75.1,86,1.014,74.1
FL-131,"Walton County",74,85,0.608,73.4
FL-133,"Washington County",73.9,59,-0.026,73.9
GA-001,"Appling County",71.6,31,-1.454,73.1
GA-003,"Atkinson County",71.4,23,-1.688,73.1
GA-005,"Bacon County",71.9,37,-1.159,73.1
GA-007,"Baker County",71.8,22,-1.798,73.6
GA-009,"Baldwin County",69.4,28,-1.989,71.4
GA-011,"Banks County",66.9,36,-1.293,68.2
GA-013,"Barrow County",67.1,31,-1.495,68.6
GA-015,"Bartow County",66.2,26,-2.232,68.4
GA-017,"Ben Hill County",70.8,22,-1.881,72.7
GA-019,"Berrien County",70.5,9,-2.435,72.9
GA-021,"Bibb County",69.7,26,-1.656,71.4
GA-023,"Bleckley County",70.3,23,-1.979,72.3
GA-025,"Brantley County",71.9,42,-0.725,72.6
GA-027,"Brooks County",71.6,25,-1.509,73.1
GA-029,"Bryan County",71.2,20,-1.876,73.1
GA-031,"Bulloch County",70.5,18,-2.048,72.5
GA-033,"Burke County",69.1,24,-2.118,71.2
GA-035,"Butts County",68.6,39,-1.23,69.8
GA-037,"Calhoun County",71.1,19,-2.076,73.2
GA-039,"Camden County",72.7,52,-0.472,73.2
GA-043,"Candler County",70.5,16,-2.117,72.6
GA-045,"Carroll County",66.8,42,-0.868,67.7
GA-047,"Catoosa County",66.9,52,-0.568,67.5
GA-049,"Charlton County",73,61,-0.194,73.2
GA-051,"Chatham County",71.2,18,-1.84,73
GA-053,"Chattahoochee County",69.5,20,-2.227,71.7
GA-055,"Chattooga County",66.2,29,-1.922,68.1
GA-057,"Cherokee County",65.6,29,-1.981,67.6
GA-059,"Clarke County",67,23,-1.998,69
GA-061,"Clay County",71,24,-1.897,72.9
GA-063,"Clayton County",68.3,42,-0.892,69.2
GA-065,"Clinch County",72.1,30,-1.11,73.2
GA-067,"Cobb County",67.1,41,-1.172,68.3
GA-069,"Coffee County",71.4,28,-1.55,73
GA-071,"Colquitt County",70.6,12,-2.247,72.8
GA-073,"Columbia County",67.9,18,-2.724,70.6
GA-075,"Cook County",70.3,9,-2.586,72.9
GA-077,"Coweta County",68.1,45,-0.837,68.9
GA-079,"Crawford County",69.5,29,-1.579,71.1
GA-081,"Crisp County",70.1,16,-2.18,72.3
GA-083,"Dade County",66,48,-0.809,66.8
GA-085,"Dawson County",64.4,31,-1.775,66.2
GA-087,"Decatur County",73.7,61,-0.191,73.9
GA-089,"DeKalb County",67.8,44,-0.842,68.6
GA-091,"Dodge County",70.6,20,-2.063,72.7
GA-093,"Dooly County",70.2,20,-1.959,72.2
GA-095,"Dougherty County",71,12,-2.403,73.4
GA-097,"Douglas County",67.3,44,-0.843,68.1
GA-099,"Early County",72.2,32,-1.339,73.5
GA-101,"Echols County",72.1,27,-1.26,73.4
GA-103,"Effingham County",70.6,23,-1.877,72.5
GA-105,"Elbert County",67.9,39,-1.193,69.1
GA-107,"Emanuel County",70.2,23,-1.983,72.2
GA-109,"Evans County",70.8,15,-2.189,73
GA-111,"Fannin County",62.4,36,-1.414,63.8
GA-113,"Fayette County",68.3,44,-0.961,69.3
GA-115,"Floyd County",66.7,29,-1.934,68.6
GA-117,"Forsyth County",65.6,32,-1.651,67.3
GA-119,"Franklin County",66.9,35,-1.475,68.4
GA-121,"Fulton County",67.5,43,-0.89,68.4
GA-123,"Gilmer County",63.2,32,-1.718,64.9
GA-125,"Glascock County",68.8,30,-1.897,70.7
GA-127,"Glynn County",72.2,32,-1.185,73.4
GA-129,"Gordon County",66.3,27,-1.988,68.3
GA-131,"Grady County",73.4,62,-0.099,73.5
GA-133,"Greene County",68,28,-1.912,69.9
GA-135,"Gwinnett County",66.9,38,-1.247,68.1
GA-137,"Habersham County",65.1,40,-0.948,66
GA-139,"Hall County",66.1,38,-1.353,67.5
GA-141,"Hancock County",68.8,29,-1.923,70.7
GA-143,"Haralson County",66,40,-1.113,67.1
GA-145,"Harris County",68.5,28,-1.548,70
GA-147,"Hart County",67,37,-1.441,68.4
GA-149,"Heard County",68,47,-0.698,68.7
GA-151,"Henry County",68.4,37,-1.136,69.5
GA-153,"Houston County",70.2,23,-1.813,72
GA-155,"Irwin County",70.5,13,-2.17,72.7
GA-157,"Jackson County",67.1,33,-1.457,68.6
GA-159,"Jasper County",68.3,33,-1.553,69.9
GA-161,"Jeff Davis County",71.3,26,-1.583,72.9
GA-163,"Jefferson County",69.2,27,-1.874,71.1
GA-165,"Jenkins County",69.6,23,-2.044,71.6
GA-167,"Johnson County",70.1,28,-1.804,71.9
GA-169,"Jones County",69,25,-1.83,70.8
GA-171,"Lamar County",68.6,38,-1.248,69.8
GA-173,"Lanier County",70.9,14,-2.069,73
GA-175,"Laurens County",70.6,26,-1.821,72.4
GA-177,"Lee County",70.4,11,-2.602,73
GA-179,"Liberty County",71.4,19,-1.808,73.2
GA-181,"Lincoln County",68,27,-2.214,70.2
GA-183,"Long County",71.5,20,-1.739,73.2
GA-185,"Lowndes County",71.2,20,-1.845,73
GA-187,"Lumpkin County",63.6,35,-1.581,65.2
GA-189,"McDuffie County",68,25,-2.205,70.2
GA-191,"McIntosh County",72.1,27,-1.348,73.4
GA-193,"Macon County",69.9,22,-1.94,71.8
GA-195,"Madison County",66.9,30,-1.619,68.5
GA-197,"Marion County",69.1,19,-2.206,71.3
GA-199,"Meriwether County",68.3,41,-1.057,69.4
GA-201,"Miller County",72.7,43,-1.017,73.7
GA-205,"Mitchell County",71.7,23,-1.735,73.4
GA-207,"Monroe County",68.8,32,-1.536,70.3
GA-209,"Montgomery County",71,27,-1.84,72.8
GA-211,"Morgan County",67.8,27,-1.838,69.6
GA-213,"Murray County",66,40,-1.265,67.3
GA-215,"Muscogee County",69.3,19,-2.076,71.4
GA-217,"Newton County",68,36,-1.312,69.3
GA-219,"Oconee County",67.3,25,-1.99,69.3
GA-221,"Oglethorpe County",67.5,30,-1.659,69.2
GA-223,"Paulding County",66.7,40,-1.234,67.9
GA-225,"Peach County",69.8,23,-1.672,71.5
GA-227,"Pickens County",64.5,30,-1.946,66.4
GA-229,"Pierce County",72.1,40,-0.821,72.9
GA-231,"Pike County",68.6,42,-1.062,69.7
GA-233,"Polk County",66.6,32,-1.488,68.1
GA-235,"Pulaski County",70.5,21,-1.953,72.5
GA-237,"Putnam County",68.5,25,-1.908,70.4
GA-239,"Quitman County",70.2,19,-2.184,72.4
GA-241,"Rabun County",62.7,38,-1.083,63.8
GA-243,"Randolph County",70.1,18,-2.259,72.4
GA-245,"Richmond County",68.6,17,-2.551,71.2
GA-247,"Rockdale County",68,37,-1.14,69.1
GA-249,"Schley County",69.5,18,-2.201,71.7
GA-251,"Screven County",69.6,14,-2.24,71.8
GA-253,"Seminole County",73.6,58,-0.477,74.1
GA-255,"Spalding County",68.7,43,-1.078,69.8
GA-257,"Stephens County",66.5,31,-1.549,68
GA-259,"Stewart County",69.5,16,-2.31,71.8
GA-261,"Sumter County",69.9,15,-2.449,72.3
GA-263,"Talbot County",68.7,29,-1.753,70.5
GA-265,"Taliaferro County",68.2,31,-1.687,69.9
GA-267,"Tattnall County",71.1,17,-2.06,73.2
GA-269,"Taylor County",69.3,24,-1.823,71.1
GA-271,"Telfair County",71.2,24,-1.755,73
GA-273,"Terrell County",70.2,14,-2.517,72.7
GA-275,"Thomas County",72.6,47,-0.615,73.2
GA-277,"Tift County",69.9,10,-2.729,72.6
GA-279,"Toombs County",71.1,24,-1.863,73
GA-281,"Towns County",62.1,49,-0.612,62.7
GA-283,"Treutlen County",70.7,28,-1.862,72.6
GA-285,"Troup County",68.4,43,-1.004,69.4
GA-287,"Turner County",70,12,-2.335,72.3
GA-289,"Twiggs County",70,24,-1.856,71.9
GA-291,"Union County",62,40,-1.044,63
GA-293,"Upson County",68.9,37,-1.33,70.2
GA-295,"Walker County",66.1,40,-1.124,67.2
GA-297,"Walton County",67.4,34,-1.503,68.9
GA-299,"Ware County",72.5,46,-0.655,73.2
GA-301,"Warren County",68.3,29,-1.92,70.2
GA-303,"Washington County",69.7,28,-1.791,71.5
GA-305,"Wayne County",71.7,31,-1.263,73
GA-307,"Webster County",69.4,15,-2.457,71.9
GA-309,"Wheeler County",71.2,27,-1.757,73
GA-311,"White County",64.2,40,-0.937,65.1
GA-313,"Whitfield County",66.7,45,-0.928,67.6
GA-315,"Wilcox County",70.5,18,-1.998,72.5
GA-317,"Wilkes County",68.2,31,-1.448,69.6
GA-319,"Wilkinson County",70,23,-1.912,71.9
GA-321,"Worth County",70.2,10,-2.545,72.7
ID-001,"Ada County",62.8,123,4.893,57.9
ID-003,"Adams County",53.8,123,4.849,49
ID-005,"Bannock County",55,115,3.896,51.1
ID-007,"Bear Lake County",50.2,115,3.463,46.7
ID-009,"Benewah County",58,128,7.071,50.9
ID-011,"Bingham County",56,121,4.319,51.7
ID-013,"Blaine County",52.8,120,4.408,48.4
ID-015,"Boise County",52.8,119,4.207,48.6
ID-017,"Bonner County",58.1,129,8.386,49.7
ID-019,"Bonneville County",53.1,124,4.429,48.7
ID-021,"Boundary County",55.7,128,8.438,47.3
ID-023,"Butte County",53,116,3.972,49
